SRC,MISSION_TIME,SS_TIME,ID,EVENT_INFO
SW_EM,2018-08-26 13:34:32.112,2018-08-26 13-34-31,EVENT,LOW_MEMORY 98.76MB
SW_EM,2018-08-26 13:34:33.334,2018-08-26 13-34-32,EVENT,LOW_MEMORY 98.76MB
SW_EM,2018-08-26 13:34:34.317,2018-08-26 13-34-33,EVENT,LOW_MEMORY 98.736MB
SW_EM,2018-08-26 13:34:35.345,2018-08-26 13-34-34,EVENT,LOW_MEMORY 98.492MB
SW_EM,2018-08-26 13:34:36.215,2018-08-26 13-34-35,EVENT,LOW_MEMORY 98.612MB
SW_EM,2018-08-26 13:34:37.573,2018-08-26 13-34-36,EVENT,LOW_MEMORY 98.72MB
SW_EM,2018-08-26 13:34:38.319,2018-08-26 13-34-37,EVENT,LOW_MEMORY 98.656MB
SW_EM,2018-08-26 13:34:39.322,2018-08-26 13-34-38,EVENT,LOW_MEMORY 98.704MB
SW_EM,2018-08-26 13:34:40.330,2018-08-26 13-34-39,EVENT,LOW_MEMORY 98.736MB
SW_EM,2018-08-26 13:34:41.369,2018-08-26 13-34-40,EVENT,LOW_MEMORY 98.948MB
SW_EM,2018-08-26 13:34:42.380,2018-08-26 13-34-41,EVENT,LOW_MEMORY 98.648MB
SW_EM,2018-08-26 13:34:43.359,2018-08-26 13-34-42,EVENT,LOW_MEMORY 98.728MB
SW_EM,2018-08-26 13:34:44.355,2018-08-26 13-34-43,EVENT,LOW_MEMORY 98.568MB
SW_EM,2018-08-26 13:34:45.364,2018-08-26 13-34-44,EVENT,LOW_MEMORY 98.696MB
SW_EM,2018-08-26 13:34:46.243,2018-08-26 13-34-45,EVENT,LOW_MEMORY 98.744MB
SW_EM,2018-08-26 13:34:47.583,2018-08-26 13-34-46,EVENT,LOW_MEMORY 98.624MB
SW_EM,2018-08-26 13:34:48.346,2018-08-26 13-34-47,EVENT,LOW_MEMORY 98.58MB
SW_EM,2018-08-26 13:34:49.327,2018-08-26 13-34-48,EVENT,LOW_MEMORY 98.712MB
SW_EM,2018-08-26 13:34:50.312,2018-08-26 13-34-49,EVENT,LOW_MEMORY 98.744MB
SW_EM,2018-08-26 13:34:51.305,2018-08-26 13-34-50,EVENT,LOW_MEMORY 98.516MB
SW_EM,2018-08-26 13:34:52.370,2018-08-26 13-34-51,EVENT,LOW_MEMORY 98.58MB
SW_EM,2018-08-26 13:34:53.380,2018-08-26 13-34-52,EVENT,LOW_MEMORY 98.58MB
SW_EM,2018-08-26 13:34:54.376,2018-08-26 13-34-53,EVENT,LOW_MEMORY 98.604MB
SW_EM,2018-08-26 13:34:55.335,2018-08-26 13-34-54,EVENT,LOW_MEMORY 98.588MB
SW_EM,2018-08-26 13:34:56.270,2018-08-26 13-34-55,EVENT,LOW_MEMORY 98.44MB
SW_EM,2018-08-26 13:34:57.611,2018-08-26 13-34-56,EVENT,LOW_MEMORY 98.416MB
SW_EM,2018-08-26 13:34:58.451,2018-08-26 13-34-57,EVENT,LOW_MEMORY 98.448MB
SW_EM,2018-08-26 13:34:59.376,2018-08-26 13-34-58,EVENT,LOW_MEMORY 98.456MB
SW_EM,2018-08-26 13:35:00.342,2018-08-26 13-34-59,EVENT,LOW_MEMORY 98.372MB
SW_EM,2018-08-26 13:35:01.319,2018-08-26 13-35-00,EVENT,LOW_MEMORY 98.324MB
SW_EM,2018-08-26 13:35:02.278,2018-08-26 13-35-01,EVENT,LOW_MEMORY 98.284MB
SW_EM,2018-08-26 13:35:03.347,2018-08-26 13-35-02,EVENT,LOW_MEMORY 98.448MB
SW_EM,2018-08-26 13:35:04.338,2018-08-26 13-35-03,EVENT,LOW_MEMORY 98.384MB
SW_EM,2018-08-26 13:35:05.387,2018-08-26 13-35-04,EVENT,LOW_MEMORY 98.252MB
SW_EM,2018-08-26 13:35:06.271,2018-08-26 13-35-05,EVENT,LOW_MEMORY 98.428MB
SW_EM,2018-08-26 13:35:07.595,2018-08-26 13-35-06,EVENT,LOW_MEMORY 98.332MB
SW_EM,2018-08-26 13:35:08.360,2018-08-26 13-35-07,EVENT,LOW_MEMORY 98.38MB
SW_EM,2018-08-26 13:35:09.363,2018-08-26 13-35-08,EVENT,LOW_MEMORY 98.48MB
SW_EM,2018-08-26 13:35:10.385,2018-08-26 13-35-09,EVENT,LOW_MEMORY 98.368MB
SW_EM,2018-08-26 13:35:11.364,2018-08-26 13-35-10,EVENT,LOW_MEMORY 98.48MB
SW_EM,2018-08-26 13:35:12.364,2018-08-26 13-35-11,EVENT,LOW_MEMORY 98.488MB
SW_EM,2018-08-26 13:35:13.367,2018-08-26 13-35-12,EVENT,LOW_MEMORY 98.488MB
SW_EM,2018-08-26 13:35:14.370,2018-08-26 13-35-13,EVENT,LOW_MEMORY 98.456MB
SW_EM,2018-08-26 13:35:15.382,2018-08-26 13-35-14,EVENT,LOW_MEMORY 98.456MB
SW_EM,2018-08-26 13:35:16.297,2018-08-26 13-35-15,EVENT,LOW_MEMORY 98.612MB
SW_EM,2018-08-26 13:35:17.560,2018-08-26 13-35-16,EVENT,LOW_MEMORY 98.58MB
SW_EM,2018-08-26 13:35:18.381,2018-08-26 13-35-17,EVENT,LOW_MEMORY 98.48MB
SW_EM,2018-08-26 13:35:19.380,2018-08-26 13-35-18,EVENT,LOW_MEMORY 98.58MB
SW_EM,2018-08-26 13:35:20.403,2018-08-26 13-35-19,EVENT,LOW_MEMORY 98.48MB
SW_EM,2018-08-26 13:35:21.361,2018-08-26 13-35-20,EVENT,LOW_MEMORY 98.496MB
SW_EM,2018-08-26 13:35:22.376,2018-08-26 13-35-21,EVENT,LOW_MEMORY 98.496MB
SW_EM,2018-08-26 13:35:23.373,2018-08-26 13-35-22,EVENT,LOW_MEMORY 98.464MB
SW_EM,2018-08-26 13:35:24.376,2018-08-26 13-35-23,EVENT,LOW_MEMORY 98.496MB
SW_EM,2018-08-26 13:35:25.402,2018-08-26 13-35-24,EVENT,LOW_MEMORY 98.324MB
SW_EM,2018-08-26 13:35:26.328,2018-08-26 13-35-25,EVENT,LOW_MEMORY 98.424MB
SW_EM,2018-08-26 13:35:27.603,2018-08-26 13-35-26,EVENT,LOW_MEMORY 98.472MB
SW_EM,2018-08-26 13:35:28.379,2018-08-26 13-35-27,EVENT,LOW_MEMORY 98.048MB
SW_EM,2018-08-26 13:35:28.440,2018-08-26 13-35-27,EVENT,CPU_UTILISATION_WARNING 100.0%
SW_EM,2018-08-26 13:35:29.376,2018-08-26 13-35-28,EVENT,LOW_MEMORY 98.144MB
SW_EM,2018-08-26 13:35:30.400,2018-08-26 13-35-29,EVENT,LOW_MEMORY 98.12MB
SW_EM,2018-08-26 13:35:31.401,2018-08-26 13-35-30,EVENT,LOW_MEMORY 98.232MB
SW_EM,2018-08-26 13:35:32.400,2018-08-26 13-35-31,EVENT,LOW_MEMORY 98.024MB
SW_EM,2018-08-26 13:35:33.401,2018-08-26 13-35-32,EVENT,LOW_MEMORY 98.276MB
SW_EM,2018-08-26 13:35:34.398,2018-08-26 13-35-33,EVENT,LOW_MEMORY 98.3MB
SW_EM,2018-08-26 13:35:35.379,2018-08-26 13-35-34,EVENT,LOW_MEMORY 98.212MB
SW_EM,2018-08-26 13:35:36.338,2018-08-26 13-35-35,EVENT,LOW_MEMORY 98.308MB
SW_EM,2018-08-26 13:35:37.559,2018-08-26 13-35-36,EVENT,LOW_MEMORY 98.08MB
SW_EM,2018-08-26 13:35:38.412,2018-08-26 13-35-37,EVENT,LOW_MEMORY 98.292MB
SW_EM,2018-08-26 13:35:39.372,2018-08-26 13-35-38,EVENT,LOW_MEMORY 98.168MB
SW_EM,2018-08-26 13:35:40.403,2018-08-26 13-35-39,EVENT,LOW_MEMORY 98.16MB
SW_EM,2018-08-26 13:35:41.403,2018-08-26 13-35-40,EVENT,LOW_MEMORY 98.348MB
SW_EM,2018-08-26 13:35:42.379,2018-08-26 13-35-41,EVENT,LOW_MEMORY 98.284MB
SW_EM,2018-08-26 13:35:43.383,2018-08-26 13-35-42,EVENT,LOW_MEMORY 98.332MB
SW_EM,2018-08-26 13:35:44.391,2018-08-26 13-35-43,EVENT,LOW_MEMORY 98.176MB
SW_EM,2018-08-26 13:35:45.386,2018-08-26 13-35-44,EVENT,LOW_MEMORY 98.136MB
SW_EM,2018-08-26 13:35:46.379,2018-08-26 13-35-45,EVENT,LOW_MEMORY 98.052MB
SW_EM,2018-08-26 13:35:47.561,2018-08-26 13-35-46,EVENT,LOW_MEMORY 98.028MB
SW_EM,2018-08-26 13:35:48.389,2018-08-26 13-35-47,EVENT,LOW_MEMORY 98.124MB
SW_EM,2018-08-26 13:35:49.405,2018-08-26 13-35-48,EVENT,LOW_MEMORY 97.808MB
SW_EM,2018-08-26 13:35:50.382,2018-08-26 13-35-49,EVENT,LOW_MEMORY 97.92MB
SW_EM,2018-08-26 13:35:51.387,2018-08-26 13-35-50,EVENT,LOW_MEMORY 97.808MB
SW_EM,2018-08-26 13:35:52.410,2018-08-26 13-35-51,EVENT,LOW_MEMORY 97.812MB
SW_EM,2018-08-26 13:35:53.411,2018-08-26 13-35-52,EVENT,LOW_MEMORY 97.772MB
SW_EM,2018-08-26 13:35:54.389,2018-08-26 13-35-53,EVENT,LOW_MEMORY 97.848MB
SW_EM,2018-08-26 13:35:55.416,2018-08-26 13-35-54,EVENT,LOW_MEMORY 97.888MB
SW_EM,2018-08-26 13:35:56.387,2018-08-26 13-35-55,EVENT,LOW_MEMORY 98.116MB
SW_EM,2018-08-26 13:35:57.558,2018-08-26 13-35-56,EVENT,LOW_MEMORY 97.792MB
SW_EM,2018-08-26 13:35:58.417,2018-08-26 13-35-57,EVENT,LOW_MEMORY 97.824MB
SW_EM,2018-08-26 13:35:59.393,2018-08-26 13-35-58,EVENT,LOW_MEMORY 97.756MB
SW_EM,2018-08-26 13:36:00.406,2018-08-26 13-35-59,EVENT,LOW_MEMORY 97.844MB
SW_EM,2018-08-26 13:36:01.408,2018-08-26 13-36-00,EVENT,LOW_MEMORY 97.844MB
SW_EM,2018-08-26 13:36:02.406,2018-08-26 13-36-01,EVENT,LOW_MEMORY 97.728MB
SW_EM,2018-08-26 13:36:03.412,2018-08-26 13-36-02,EVENT,LOW_MEMORY 97.872MB
SW_EM,2018-08-26 13:36:04.411,2018-08-26 13-36-03,EVENT,LOW_MEMORY 97.876MB
SW_EM,2018-08-26 13:36:05.431,2018-08-26 13-36-04,EVENT,LOW_MEMORY 97.92MB
SW_EM,2018-08-26 13:36:06.416,2018-08-26 13-36-05,EVENT,LOW_MEMORY 97.732MB
SW_EM,2018-08-26 13:36:07.556,2018-08-26 13-36-06,EVENT,LOW_MEMORY 97.804MB
SW_EM,2018-08-26 13:36:08.417,2018-08-26 13-36-07,EVENT,LOW_MEMORY 97.504MB
SW_EM,2018-08-26 13:36:09.403,2018-08-26 13-36-08,EVENT,LOW_MEMORY 97.648MB
SW_EM,2018-08-26 13:36:10.437,2018-08-26 13-36-09,EVENT,LOW_MEMORY 97.728MB
SW_EM,2018-08-26 13:36:11.436,2018-08-26 13-36-10,EVENT,LOW_MEMORY 97.812MB
SW_EM,2018-08-26 13:36:12.394,2018-08-26 13-36-11,EVENT,LOW_MEMORY 97.72MB
SW_EM,2018-08-26 13:36:13.401,2018-08-26 13-36-12,EVENT,LOW_MEMORY 97.656MB
SW_EM,2018-08-26 13:36:14.403,2018-08-26 13-36-13,EVENT,LOW_MEMORY 97.664MB
SW_EM,2018-08-26 13:36:15.427,2018-08-26 13-36-14,EVENT,LOW_MEMORY 97.568MB
SW_EM,2018-08-26 13:36:15.981,2018-08-26 13-36-15,EVENT,LOW_MEMORY 97.408MB
SW_EM,2018-08-26 13:36:36.280,2018-08-26 13-36-16,EVENT,LOW_MEMORY 97.024MB
SW_EM,2018-08-26 13:36:37.594,2018-08-26 13-36-17,EVENT,LOW_MEMORY 96.972MB
