SRC,MISSION_TIME,SS_TIME,ID,SWEM_VERSION,SWEM_STATUS,CPU_USE,CPU_TEMP,MEM_FREE,TC_RX,TC_REJ,INTERN_TEMP,EXTERN_TEMP,EXTERN_PRESS,RELAT_HUMID,DERIVED_ALT,DEW_POINT
SW_EM,2018-08-26 03:48:05.840,2018-08-26 03-48-05,HK,2.5,EM_READY,51.87,63.4,430.92,0,0,35.69,-29.98,152.78,4.71,15957.58,-58.80
SW_EM,2018-08-26 03:48:35.952,2018-08-26 03-48-35,HK,2.5,EM_READY,53.62,63.9,430.984,0,0,35.56,-30.77,147.87,5.63,16233.52,-57.95
SW_EM,2018-08-26 03:49:06.016,2018-08-26 03-49-05,HK,2.5,EM_READY,52.34,64.5,430.76,0,0,35.38,-31.52,142.69,5.94,16534.18,-58.09
SW_EM,2018-08-26 03:49:36.073,2018-08-26 03-49-35,HK,2.5,EM_READY,52.96,63.4,430.172,0,0,35.31,-32.27,138.00,6.48,16815.77,-57.98
SW_EM,2018-08-26 03:50:06.083,2018-08-26 03-50-05,HK,2.5,EM_READY,0.00,63.4,429.884,0,0,35.25,-32.94,133.90,8.13,17070.03,-56.62
SW_EM,2018-08-26 03:50:36.165,2018-08-26 03-50-35,HK,2.5,EM_READY,65.00,64.5,429.636,0,0,35.06,-33.63,130.69,8.01,17274.81,-57.31
SW_EM,2018-08-26 03:51:06.215,2018-08-26 03-51-05,HK,2.5,EM_READY,68.00,63.9,429.016,0,0,35.00,-34.26,127.71,7.79,17469.70,-58.05
SW_EM,2018-08-26 03:51:36.181,2018-08-26 03-51-35,HK,2.5,EM_READY,79.31,63.4,428.48,0,0,34.88,-34.87,125.14,7.45,17640.75,-58.90
SW_EM,2018-08-26 03:52:06.271,2018-08-26 03-52-05,HK,2.5,EM_READY,77.14,63.4,428.156,0,0,34.75,-35.48,122.79,7.96,17800.90,-58.86
SW_EM,2018-08-26 03:52:36.294,2018-08-26 03-52-35,HK,2.5,EM_READY,64.10,63.4,427.944,0,0,34.69,-36.02,120.52,7.13,17958.25,-60.19
SW_EM,2018-08-26 03:53:06.341,2018-08-26 03-53-05,HK,2.5,EM_READY,64.00,63.9,427.588,0,0,34.56,-36.55,118.26,7.16,18117.83,-60.58
SW_EM,2018-08-26 03:53:36.403,2018-08-26 03-53-35,HK,2.5,EM_READY,60.71,63.4,427.476,0,0,34.44,-37.07,116.23,7.18,18264.08,-60.98
